-20., 0., -5., 8.,
-20., -5., -5., 5.,
-12., 0., -5., 6.,
-6., 0., -5., 6.,
-15., -5., -5., 11.,
-4., -5., -5., 6.,
0., 0., -5., 10.,
2., -5., -5., 8., 
10., 2., -12., 4.,
15., 5., -2., 6.,
22., 2., -12., 4.,
26., -7., -3., 13.,
39., -7., -3., 7.,
42., -5., -2., 4., 
46., -3., -7., 5.,
51., -3., -7., 5.,
56., -2., -8., 4.,
54., -1., -1., 6.,
49., 2., -1., 3.,
46., 2., -2., 3.,
42., 5., -5., 4.,
35., 9., -2., 6.,
26., 11., -6., 6.,
21., 13., -2., 7.,
16., 17., -4., 4.,
9., 19., -4., 4.,
3., 21., -2., 4.,
-25., 23., -4., 17.,
-8., 23., -4., 11.,
-25., 19., -15., 5.,
-25., 5., -15., 5.,
