1., -3, 3., 3.,
4., -3, 3., 3.,
7., -3, 3., 3.,
10., -3., 3., 4.,
-2., -3., 3., 3.,
-5., -3., 3., 3.,
-8., -3., 3., 3.,
-11., -3., 3., 3.,
-14., -3., 3., 3.,
-17., -3., 3., 3.,
-20., -3., 3., 3.,
10., 0., 2., 4.,
-20., -10., 7., 34.,
-25., -5., 5., 5.,
-25., -10., 5., 5.,
-25., 0., 5., 5.,
-25., 5., 5., 5.,
-25., 10., 5., 5.,
-25., 15., 4., 5.,
-25., 19., 4., 5.,
-20., 19., 4., 3., 
-17., 19., 4., 3.,
-14., 19., 4., 3.,
-11., 19., 4., 3.,
-8., 19., 4., 3.,
-5, 19., 4., 3., 
-2., 19., 4., 3.,
1., 19., 4., 2.,
3., 19., 2., 4.,
9., 14., 2., 2.,
9., 16., 2., 2.,
11., 14., 2., 2.,
11., 16., 2., 2.,
16., 12., 2., 2.,
16., 14., 2., 2.,
18., 12., 2., 2.,
18., 14., 2., 2.,
21., 12., 2., 2.,
23., 12., 2., 2.,
25., 12., 2., 3.,
26., 9., 3., 3.,
26., 6., 3., 3., 
29., 6., 3., 3.,
29., 9., 3., 3.,
33., 8., 2., 3.,
36., 8., 2., 3.,
40., 1., 2., 4.,
40., 3., 3., 4.,
44., 1., 2., 3.,
47., 2., 1., 3.,
52., -2., 1., 3.,
55., -2., 1., 3.,
54., -5., 3., 4.,
51., -5., 2., 3.,
48., -5., 2., 3.,
44., -5., 2., 4.,
40., -7., 2., 2.,
42., -7., 2., 2.,
44., -7., 2., 2.,
46., -7., 2., 4.,
50., -7., 2., 4.,
54., -7., 2., 4.,
40., -10., 3., 4., 
44., -10., 3., 5.,
49., -10., 3., 5.,
54., -10., 3., 4.,
37., -10., 3., 3.,
34., -10., 3., 3.,
31., -10., 3., 3.,
28., -10., 3., 3.,
25., -10., 3., 3.,
20., -10., 3., 5.,
20., -7., 3., 4.,
20., -4., 3., 4., 
20., -1., 3., 4.,
16., 3., 2., 3.,
13., 3., 2., 3., 
