1., -3., 3., 3.,
4., -3., 3., 3.,
7., -3., 3., 3.,
7., -6., 3., 3.,
7., -8., 2., 3.,
-2., -3., 3., 3.,
-5., -3., 3., 3.,
-8., -3., 3., 3.,
-8., -8., 5., 15.,
-12., -8., 5., 3.,
-12., -3., 3., 3.,
-12., 0., 3., 3.,
-12., 3., 3., 3., 
-12., 6., 4., 3.,
-18., 6.,  4., 6.,
-21., 6., 4., 3.,
-27., 6., 4., 6.,
-31., 6., 4., 4.,
-31., 0., 6., 19., 
-31., -8., 8., 19.,
-35., -8., 7., 4., 
-35., -1., 11., 4.,
-35., 10., 3., 4., 
-35., 13., 3., 4.,
-35., 16., 3., 4., 
-35., 19., 3., 4.,
-35., 22., 3., 4.,
-35., 25., 3., 4.,
-35., 28., 4., 4.,
-17., 10., 4., 3.,
-14., 10., 4., 3.,
-17., 14., 3., 3.,
-14., 14., 3., 3.,
-26., 10., 4., 3.,
-23., 10., 4., 3.,
-26., 14., 3., 3.,
-23., 14., 3., 3.,
-31., 30., 2., 4.,
-27., 30., 2., 4.,
-23., 30., 2., 4.,
-19., 30., 2., 4.,
-15., 30., 2., 4.,
-11., 30., 2., 4.,
-7., 30., 2., 4.,
-3., 30., 2., 4.,
1., 30., 2., 4.,
5., 30., 2., 4.,
9., 30., 2., 4.,
13., 30., 2., 4.,
17., 30., 2., 4.,
21., 30., 2., 4., 
25., 30., 2., 4.,
10., -8., 2., 4., 
14., -8., 2., 6.,
20., -8., 2., 4.,
14., -6., 2., 6., 
24., -8., 4., 4., 
24., -4., 4., 4.,
28., -8., 4., 4.,
28., -4., 4., 4.,
32., -8., 4., 4.,
32., -4., 4., 4.,
36., -8., 4., 4.,
36., -4., 4., 4.,
40., -8., 4., 4.,
40., -4., 4., 4.,
44., -8., 4., 4.,
44., -4., 4., 4.,
48., -8., 4., 4., 
48., -4., 4., 4.,
52., -8., 4., 4.,
52., -4., 4., 4.,
44., 0., 2., 4.,
48., 0., 4., 4.,
52., 0., 4., 4.,
52., 4., 4., 4.,
52., 8., 4., 4.,
52., 12., 4., 4.,
52., 16., 4., 4.,
52., 20., 4., 4.,
52., 24., 4., 4.,
52., 28., 4., 4.,
14., 4., 1., 6., 
9., 10., 1., 4.,
0., 12., 1., 6., 
-8., 14., 1., 6.,
24., 7., 1., 5., 
29., 7., 1., 5.,
34., 5., 3., 4.,
34., 2., 3., 4.,
40., 5., 1., 6., 
32., 10., 2., 3.,
35., 10., 2., 3.,
38., 12., 2., 3.,
41., 12., 2., 3.,
44., 12., 3., 4.,
44., 15., 2., 4., 
48., 12., 3., 4., 
48., 15., 2., 4., 
6., 17., 2., 4.,
10., 17., 2., 4.,
14., 17., 2., 4.,
18., 17., 2., 4.,
22., 17., 2., 4.,
26., 17., 2., 4.,
30., 17., 2., 4.,
34., 17., 2., 4.,
